City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,80.44,79,17,15.84,PF,1680381223
1,kapaa,22.0752,-159.319,73.72,91,100,6.91,US,1680381167
2,daru,-9.0763,143.2092,79.0,85,49,3.65,PG,1680381224
3,pinotepa nacional,16.3167,-98.0167,91.4,40,11,12.35,MX,1680381225
4,yellowknife,62.456,-114.3525,10.92,61,100,21.85,CA,1680381005
5,hilo,19.7297,-155.09,83.28,77,75,5.75,US,1680381226
6,saldanha,-33.0117,17.9442,62.64,86,0,10.36,ZA,1680381226
7,chengde,40.9725,117.9361,46.71,64,73,2.57,CN,1680381227
8,ushuaia,-54.8,-68.3,47.86,57,0,18.41,AR,1680381100
9,huarmey,-10.0681,-78.1522,78.53,78,100,7.65,PE,1680381193
10,aklavik,68.2191,-135.0107,5.0,56,20,2.3,CA,1680381228
11,busselton,-33.65,115.3333,57.52,90,2,7.49,AU,1680381141
12,isangel,-19.55,169.2667,81.52,78,1,4.68,VU,1680381229
13,port alfred,-33.5906,26.891,67.17,90,37,1.01,ZA,1680381229
14,cape town,-33.9258,18.4232,65.91,82,0,13.8,ZA,1680381229
15,punta arenas,-53.15,-70.9167,51.91,62,40,18.41,CL,1680381002
16,nikolskoye,59.7035,30.7861,33.69,97,100,5.12,RU,1680381230
17,turukhansk,65.8167,87.9833,19.22,94,100,25.23,RU,1680381231
18,miramar,25.9873,-80.2323,86.02,69,75,13.8,US,1680381078
19,bluff,-46.6,168.3333,55.8,74,100,15.79,NZ,1680381232
20,clyde river,70.4692,-68.5914,-7.37,77,20,11.5,CA,1680381214
21,east london,-33.0153,27.9116,70.3,84,80,11.56,ZA,1680381159
22,pekan,3.4836,103.3996,77.11,90,62,2.62,MY,1680381233
23,cabo san lucas,22.8909,-109.9124,85.6,52,40,6.91,MX,1680381233
24,vaini,-21.2,-175.2,80.76,83,20,9.22,TO,1680381234
25,butaritari,3.0707,172.7902,81.46,76,100,12.95,KI,1680381235
26,kodiak,57.79,-152.4072,36.91,41,0,31.07,US,1680381164
27,namibe,-15.1961,12.1522,75.79,82,98,6.2,AO,1680381235
28,khatanga,71.9667,102.5,19.49,92,100,20.74,RU,1680381236
29,cairns,-16.9167,145.7667,76.06,97,64,1.14,AU,1680381000
30,mataura,-46.1927,168.8643,55.47,98,100,5.73,NZ,1680381140
31,ciudad bolivar,8.1222,-63.5497,89.44,44,86,14.38,VE,1680381237
32,lavrentiya,65.5833,-171.0,25.95,92,100,7.2,RU,1680381237
33,hobart,-42.8794,147.3294,54.27,80,75,9.22,AU,1680380940
34,kupang,-10.1667,123.5833,76.15,86,100,3.96,ID,1680381239
35,new norfolk,-42.7826,147.0587,53.92,86,100,1.01,AU,1680381240
36,victoria,22.2855,114.1577,71.65,90,100,8.99,HK,1680381022
37,beringovskiy,63.05,179.3167,15.69,67,79,22.17,RU,1680381241
38,saint-augustin,51.226,-58.6502,31.46,73,58,12.12,CA,1680381212
39,ukiah,39.1502,-123.2078,53.37,86,100,4.61,US,1680381002
40,avarua,-21.2078,-159.775,78.85,89,75,6.91,CK,1680381242
41,flinders,-34.5833,150.8552,60.19,89,96,4.0,AU,1680381243
42,imbituba,-28.24,-48.6703,70.18,58,0,18.79,BR,1680381243
43,albany,42.6001,-73.9662,72.45,32,1,1.01,US,1680381244
44,whitehorse,60.7161,-135.0538,35.1,72,100,9.22,CA,1680381107
45,belance,16.1833,121.25,64.72,97,69,0.27,PH,1680381245
46,akyab,20.15,92.9,77.58,78,5,7.85,MM,1680381246
47,jamestown,42.097,-79.2353,47.84,66,100,31.07,US,1680380898
48,lorengau,-2.0226,147.2712,80.47,79,99,3.69,PG,1680381153
49,petropavlovsk-kamchatskiy,53.0452,158.6483,25.39,74,0,6.71,RU,1680381247
50,dunedin,-45.8742,170.5036,56.7,82,35,12.12,NZ,1680381147
51,saint anthony,45.0205,-93.218,37.45,59,0,5.75,US,1680381248
52,chokurdakh,70.6333,147.9167,-27.15,100,98,6.96,RU,1680381249
53,biskamzha,53.4497,89.5272,3.43,94,20,3.27,RU,1680381249
54,san andres,12.5847,-81.7006,86.02,62,75,17.27,CO,1680380979
